"source_lng","source","station","lat","lon"
"New College Fl.","ncf","2021-0409-3",27.56915,-82.56806
"New College Fl.","ncf","2021-0409-4",27.57629,-82.56429
"New College Fl.","ncf","2021-0409-5",27.56489,-82.60939
"New College Fl.","ncf","2021-0409-6",27.56128,-82.61069
"New College Fl.","ncf","2021-0409-7",27.55495,-82.5937
"New College Fl.","ncf","2021-0409-8",27.54826,-82.58231
"New College Fl.","ncf","2021-0416-1",27.50307,-82.5693
"New College Fl.","ncf","2021-0416-2",27.51191,-82.5701
"New College Fl.","ncf","2021-0416-3",27.52546,-82.5084
"New College Fl.","ncf","2021-0416-4",27.51966,-82.5054
"New College Fl.","ncf","2021-0416-5",27.52108,-82.6195
"New College Fl.","ncf","2021-0416-6",27.52964,-82.6268
"Pinellas Co.","pinco","BP1",27.6966468,-82.515124
"Pinellas Co.","pinco","BP2",27.6986036,-82.5200807
"Pinellas Co.","pinco","CB1",27.5969301,-82.5994258
"Pinellas Co.","pinco","CB2",27.5966766,-82.5962787
"Pinellas Co.","pinco","CB3",27.5966202,-82.5922255
"Pinellas Co.","pinco","CB4",27.5973683,-82.5758245
"Pinellas Co.","pinco","CB5",27.6001599,-82.5799701
"Pinellas Co.","pinco","CB6",27.6007818,-82.5862114
"Pinellas Co.","pinco","CB7",27.6038394,-82.5797226
"Pinellas Co.","pinco","CB8",27.5976517,-82.5859968
"Pinellas Co.","pinco","CR1",27.6861018,-82.5233517
"Pinellas Co.","pinco","CR2",27.6870898,-82.527336
"Pinellas Co.","pinco","Desoto-1",27.610558,-82.72444
"Pinellas Co.","pinco","Desoto-2",27.618507,-82.707695
"Pinellas Co.","pinco","Desoto-3",27.634237,-82.689767
"Pinellas Co.","pinco","E7-A",27.72306,-82.6212
"Pinellas Co.","pinco","E7-B",27.7542,-82.621
"Pinellas Co.","pinco","E7-C",27.70455,-82.6226
"Pinellas Co.","pinco","E7-D",27.71755,-82.6215
"Pinellas Co.","pinco","FD A 21 03",27.6416288,-82.7049521
"Pinellas Co.","pinco","FD B 21 03",27.6521863,-82.7060673
"Pinellas Co.","pinco","FD C 21 03",27.6450391,-82.7179611
"Pinellas Co.","pinco","FD D 21 03",27.6352294,-82.7027497
"Pinellas Co.","pinco","JB1",27.5876892,-82.608252
"Pinellas Co.","pinco","JB2",27.5872384,-82.6049301
"Pinellas Co.","pinco","JB3",27.587013,-82.6012266
"Pinellas Co.","pinco","JB4",27.5882401,-82.5945012
"Pinellas Co.","pinco","JB5",27.5899338,-82.5913732
"Pinellas Co.","pinco","JB6",27.592756,-82.5873305
"Pinellas Co.","pinco","LC1",27.7122439,-82.49992
"Pinellas Co.","pinco","LC2",27.7136686,-82.5031506
"Pinellas Co.","pinco","LM1",27.7176708,-82.4805269
"Pinellas Co.","pinco","LM2",27.7201599,-82.4890529
"Pinellas Co.","pinco","MB-01",27.573797,-82.604482
"Pinellas Co.","pinco","MC-202",27.665703,-82.559067
"Pinellas Co.","pinco","MC1",27.612443,-82.629256
"Pinellas Co.","pinco","MC2",27.601053,-82.613389
"Pinellas Co.","pinco","MC3",27.587669,-82.652122
"Pinellas Co.","pinco","MC395",27.567553,-82.573072
"Pinellas Co.","pinco","MC396",27.591058,-82.621756
"Pinellas Co.","pinco","MC4",27.573267,-82.63588
"Pinellas Co.","pinco","MC422",27.557483,-82.633217
"Pinellas Co.","pinco","MC430",27.527331,-82.609581
"Pinellas Co.","pinco","MC431",27.511197,-82.597939
"Pinellas Co.","pinco","MC432",27.5431,-82.644553
"Pinellas Co.","pinco","MC452",27.541128,-82.717056
"Pinellas Co.","pinco","MC459",27.528828,-82.703611
"Pinellas Co.","pinco","MC5",27.560375,-82.643627
"Pinellas Co.","pinco","MC587",27.473189,-82.648742
"Pinellas Co.","pinco","MC6",27.545639,-82.656094
"Pinellas Co.","pinco","MC607",27.399042,-82.600517
"Pinellas Co.","pinco","MC658",27.481117,-82.699286
"Pinellas Co.","pinco","MC660",27.453319,-82.675222
"Pinellas Co.","pinco","MC668",27.421519,-82.646856
"Pinellas Co.","pinco","MC669",27.411167,-82.643167
"Pinellas Co.","pinco","PC1",27.642252,-82.660052
"Pinellas Co.","pinco","PC2",27.633041,-82.651548
"Pinellas Co.","pinco","RP1",27.662158,-82.5418628
"Pinellas Co.","pinco","RP2",27.6640585,-82.5451244
"Pinellas Co.","pinco","S3T5",27.67438,-82.53723
"Pinellas Co.","pinco","S3T6",27.64379,-82.55785
"Pinellas Co.","pinco","S4T1",27.63397,-82.56985
"Pinellas Co.","pinco","S4T2",27.6075,-82.57349
"Pinellas Co.","pinco","S4T3",27.59434,-82.59364
"Pinellas Co.","pinco","SC1",27.6780451,-82.5311983
"Pinellas Co.","pinco","SCR1",27.6780451,-82.5311983
"Pinellas Co.","pinco","SCR2",27.6788432,-82.5342024
"Pinellas Co.","pinco","SkywayE-1",27.690718,-82.634453
"Pinellas Co.","pinco","SkywayE-2",27.689679,-82.66452
"Pinellas Co.","pinco","SkywayE-3",27.673814,-82.656761
"Pinellas Co.","pinco","SkywayW-1",27.689037,-82.692304
"Pinellas Co.","pinco","SkywayW-2",27.676516,-82.687936
"Pinellas Co.","pinco","TB017",27.666,-82.544
"Pinellas Co.","pinco","TB019",27.607,-82.567
"Pinellas Co.","pinco","TB024",27.593,-82.592
"Pinellas Co.","pinco","W7 A 21 03",27.71442779,-82.72712875
"Pinellas Co.","pinco","W7 B 21 03",27.71469137,-82.73582841
"Pinellas Co.","pinco","W7 C 21 03",27.73410924,-82.6930255
"Pinellas Co.","pinco","W7 D 21 03",27.72662635,-82.71902639
"Pinellas Co.","pinco","W8-A",27.65292,-82.694
"Pinellas Co.","pinco","W8-B",27.64857,-82.7207
"Pinellas Co.","pinco","W8-C",27.65134,-82.7002
"Pinellas Co.","pinco","W8-D",27.66779,-82.6994
"Pinellas Co.","pinco","W8 A 21 03",27.67559883,-82.71452197
"Pinellas Co.","pinco","W8 B 21 03",27.70071243,-82.66337973
"Pinellas Co.","pinco","W8 C 21 03",27.64412691,-82.73153366
"Pinellas Co.","pinco","W8 D 21 03",27.66953064,-82.68993651
"SBEP","sbep","AMS1",27.481509,-82.6830768
"SBEP","sbep","AMS2",27.4811241,-82.6992921
"SBEP","sbep","AMS3",27.492195,-82.6830768
"SBEP","sbep","AMS4",27.48863,-82.70258
"SBEP","sbep","CB-0",27.59394,-82.5741
"SBEP","sbep","CB-18",27.59798,-82.57795
"SBEP","sbep","CB-2",27.59658,-82.59627
"SBEP","sbep","JB-1",27.587689,-82.608252
"SBEP","sbep","JB-2",27.58721,-82.60492
"SBEP","sbep","JB-6",27.592756,-82.58733
"SBEP","sbep","PSB4",27.5023152,-82.6553721
"TBEP","tbep","TBEP-BH0",27.605423,-82.552508
"TBEP","tbep","TBEP-BH15",27.611731,-82.559575
"TBEP","tbep","TBEP-BH25",27.600785,-82.556658
"TBEP","tbep","TBEP-MCBH02",27.60739,-82.56236
"UF","uf","SPPCC AHA TB017",27.666,-82.544
"UF","uf","YSI Bishop Harbor",27.606,-82.568
"UF","uf","YSI Cockroach",27.674,-82.542
"UF","uf","YSI Joe Bay",27.591,-82.591
"USF","usf","NGS-S Pond",27.6248,-82.5239
"USF","usf","Shore",27.6427,-82.5582
"USF","usf","USF-1",27.7783,-82.5733
"USF","usf","USF-10",27.7213,-82.61
"USF","usf","USF-2",27.79,-82.5295
"USF","usf","USF-3",27.725,-82.5383
"USF","usf","USF-4",27.697,-82.5595
"USF","usf","USF-5",27.6667,-82.6033
"USF","usf","USF-6",27.6333,-82.5633
"USF","usf","USF-6B",27.6283,-82.5633
"USF","usf","USF-7",27.6317,-82.645
"USF","usf","USF-8",27.5499,-82.7073
"USF","usf","USF-9",27.6008,-82.7402
"USF","usf","USF-A",27.6996,-82.5268
"USF","usf","USF-B",27.6558,-82.5576
"USF","usf","USF-C",27.6368,-82.5818
"USF","usf","USF-D",27.6046,-82.6302
"USF","usf","USF-E",27.5446,-82.6649
"USF","usf","USF-X",27.6822,-82.5439
"USF","usf","USF-Y",27.6029,-82.5956
